,aerials_won,age,assists,avg_rating,bad_controls,blocks,clearances,country,crosses,dispossessed,dribbled_past,dribbles,first_eleven,fouled,fouls,goals,height_cm,interceptions,key_passes,long_balls,man_of_the_match,minutes_played,offsides,offsides_won,own_goals,pass_accuracy,passes,player_id,player_name,position,red_cards,shots,substituted_on,tackles,team,through_balls,weight_kg,yellow_cards
3687,1.3,30,3,6.73,0.8,0.3,2.8,fr,0.8,0.3,0.3,0.4,30,0.3,0.6,0,181,1.1,0.9,2.0,0,2647,0.1,0.2,0,76.7,30.7,35958,Aly Cissokho,"D(L),M(L)",0,0.2,0,0.7,Yeni Malatyaspor,0.0,75,2
3688,0.9,28,2,6.61,0.9,0.0,0.7,nl,0.5,0.9,0.1,0.8,9,0.5,0.4,2,188,0.0,0.7,0.8,0,779,0.5,0.0,0,81.2,17.4,32861,Nacer Barazite,"AM(C),FW",0,1.5,6,0.1,Yeni Malatyaspor,0.0,86,0
3689,0.5,28,0,6.58,0.0,0.0,0.6,tr,0.0,0.0,0.1,0.0,28,0.4,0.0,0,189,0.1,0.0,7.5,2,2476,0.0,0.0,0,54.6,26.4,92810,Ertac Özbir,GK,0,0.0,0,0.0,Yeni Malatyaspor,0.0,80,2
3690,1.1,27,0,6.57,1.0,0.0,0.8,gn,0.4,0.7,0.9,1.1,11,1.2,1.0,0,182,1.2,0.9,2.6,0,837,0.0,0.0,0,83.1,29.9,83572,Sadio Diallo,"AM(CL),FW",0,1.1,3,1.1,Yeni Malatyaspor,0.1,75,1
3691,1.3,28,0,6.56,0.5,0.5,3.3,tr,0.0,0.0,1.0,0.3,3,1.3,0.3,0,184,0.5,0.0,2.8,0,277,0.0,0.5,0,83.3,33.0,67876,Murat Akça,D(C),0,0.8,1,1.5,Yeni Malatyaspor,0.0,75,1
3692,1.0,23,1,6.55,0.6,0.0,1.8,tr,0.1,0.6,1.3,0.5,10,0.7,0.7,1,178,1.2,0.6,1.8,1,1072,0.0,0.0,0,73.8,22.0,343465,Rahman Bugra Cagiran,Midfielder,1,0.4,11,1.8,Yeni Malatyaspor,0.1,76,2
3693,0.2,31,1,6.55,0.8,0.3,0.5,tr,0.0,0.6,1.3,0.3,24,1.3,1.3,0,171,1.1,0.4,1.9,0,2190,0.0,0.0,0,89.2,35.5,81421,Murat Yildirim,M(C),0,0.6,4,2.0,Yeni Malatyaspor,0.0,68,6
3694,0.3,30,3,6.55,1.5,0.0,0.1,ar,0.0,0.9,0.5,1.1,7,1.3,1.0,2,176,0.1,0.5,0.0,0,660,0.1,0.0,0,73.6,6.5,303721,Emanuel Dening,"AM(CLR),FW",0,0.6,15,1.0,Yeni Malatyaspor,0.0,72,3
3695,1.1,27,0,6.45,1.2,0.0,0.6,tr,0.1,1.2,0.9,0.3,10,1.3,1.1,2,175,0.2,0.4,0.4,0,865,0.1,0.0,0,81.2,13.9,110535,Eren Tozlu,"AM(LR),FW",0,1.1,8,1.6,Yeni Malatyaspor,0.0,78,3
3696,1.8,20,0,6.44,2.0,0.0,3.3,ng,0.8,0.3,2.0,0.5,2,1.0,0.3,0,170,0.8,0.8,1.5,0,252,0.0,0.3,0,78.9,27.3,343464,Muenfuh Sincere,Defender,0,0.3,2,1.5,Yeni Malatyaspor,0.0,0,0
